Volts,Energy Used
531.59808,2504180.43856182
531.59808,2514064.70788468
531.58704,2523375.40909604
531.56634,2533132.62177766
531.5553,2542566.53235187
531.54564,2552383.86811335
531.52356,2561762.8137563
531.49458,2571881.47941111
531.48354,2581208.56850359
531.46284,2591161.14946393
531.4518,2600378.77239368
531.4311,2609916.0974472
531.4104,2619463.30090906
531.37866,2629097.75334545
531.35796,2638689.56614496
531.34692,2648288.83577011
531.32622,2657887.96357838
531.30552,2667473.86315432
531.27378,2677063.24420346
531.25446,2686664.26350639
531.23376,2696403.14064946
531.21306,2706388.48731398
531.19098,2715726.3599181
531.14958,2725604.92247146
531.13854,2735039.4519381
531.11784,2744574.4566877
531.09714,2754137.02087436
531.07506,2763750.44889839
531.03366,2773351.1201916
531.01434,2782940.67108859
530.99364,2792571.83057939
530.97294,2802125.17473454
530.95086,2811716.84383568
530.90946,2821324.08820798
530.88876,2831544.83975728
530.86668,2840900.0047501
530.84598,2850597.19974515
530.82528,2860243.58512312
530.7825,2870010.51132193
530.76456,2879192.27585176
530.74248,2889083.03990177
530.72178,2898056.01468403
530.70108,2908216.84034541
530.6583,2917274.2850282
530.6376,2927389.66405515
530.6169,2936455.29852102
530.59482,2946486.48057046
530.57412,2955694.41995359
530.53272,2965636.61587841
530.5134,2974863.84446644
530.4927,2985211.27632659
530.47062,2994622.86412279
530.44992,3004278.5991532
530.39748,3013441.72069645
530.37678,3023306.93887634
530.3547,3032909.16960605
530.334,3042345.42437209
530.3133,3051796.79018455
530.27052,3061394.03148611
530.25258,3070931.71983245
530.2305,3080514.39741604
530.2098,3090122.31995171
530.1891,3099680.90367534
530.13666,3109281.8928699
530.11596,3118913.6765117
530.09388,3128527.32567616
530.07318,3138097.97785418
530.05248,3147687.62001056
530.01246,3157683.55060326
529.99176,3167003.61981378
529.96968,3176975.61182692
529.93794,3186304.83488749
529.91724,3195776.72109002
529.89654,3205305.78476205
529.85376,3214901.10483876
529.83306,3224492.76034283
529.81236,3234090.01053947
529.78062,3243676.29815278
529.7613,3253271.50219521
529.7199,3262899.39959509
529.69782,3272455.32484927
529.67712,3282030.56319684
529.65642,3291703.50403185
529.63572,3301670.77257345
529.5819,3311010.78768994
529.5612,3321005.56725469
529.5405,3330350.61830175
529.51152,3339784.56604882
529.48944,3349250.56376521
529.44804,3358894.31998772
529.42734,3368441.04392835
529.40526,3378096.60164211
529.37352,3387658.17686371
529.35282,3397323.25788208
529.31142,3406830.58784642
529.28934,3416609.0215211
529.26864,3426014.52777365
529.23966,3436373.0589886
529.21896,3445177.72202725
529.17618,3455102.57500222
529.15548,3464589.67528953
529.12374,3474345.93097124
529.10304,3483926.11183966
529.08096,3493849.61333317
529.02852,3502747.65400739
529.0092,3512340.54918167
528.9885,3521957.78805255
528.9678,3531564.88298333
528.9471,3541172.89073684
528.89466,3550773.64729553
528.87258,3560351.62858553
528.85188,3569966.22282149
528.82014,3579544.90544372
528.79944,3589141.90828573
528.74838,3598846.39589439
528.72768,3608411.84565874
528.70698,3618479.43618728
528.6849,3627862.75028654
528.6642,3637774.95622293
528.61176,3647117.04528998
528.59106,3656465.95774011
528.57036,3666079.8330665
528.53862,3675647.39990988
528.51654,3685216.97735077
528.4986,3694794.42911842
528.44616,3704404.4609741
528.42408,3714059.58317408
528.40338,3723570.56239572
528.37164,3733171.88420938
528.35094,3742764.29408851
528.2985,3753201.42959838
528.27642,3762536.07083951
528.25848,3772121.58726617
528.22674,3781310.38613238
528.18396,3791710.78468793
528.16326,3800679.09573971
528.13152,3810559.23016086
528.11082,3819579.6504073
528.07908,3829703.16951192
528.05838,3838779.18172106
528.0156,3848820.07891272
527.99766,3857955.15283517
527.96592,3867894.95725228
527.94384,3877140.91742098
527.92314,3886994.30849418
527.8707,3896310.4206621
527.83896,3906078.85632263
527.81826,3916055.08554417
527.79756,3925735.60113849
527.76582,3934957.60082664
527.7258,3944400.24549401
527.69406,3954240.11894717
527.67336,3963716.59728466
527.65128,3973126.28511082
527.61954,3982722.09143368
527.5671,3992326.48331825
527.5464,4001929.24406218
527.5257,4011517.26767942
527.49534,4021073.05397274
527.47464,4030774.4902914
527.4222,4040311.09425301
527.4015,4049897.27976815
527.36976,4059586.85536939
527.34906,4069141.77255809
527.31732,4079127.20575051
527.27454,4088510.8662273
527.24556,4097991.72687847
527.22486,4107849.96884723
527.19312,4117324.69857131
527.17104,4126881.37747968
527.1393,4136271.15992698
527.08686,4145883.65631622
527.06616,4155481.28531825
527.03442,4165076.74942034
527.01372,4174681.32843811
526.98474,4184300.82233383
526.94196,4193905.64663052
526.91022,4203470.80593007
526.87848,4213038.84800386
526.85778,4223227.19155322
526.83708,4232445.52613241
526.7736,4242753.86859466
526.75428,4251690.3503329
526.73358,4261648.85743416
526.70184,4270635.18566099
526.68114,4280735.50065695
526.6287,4289807.85055709
526.59696,4299935.35530283
526.57626,4309019.05949315
526.54452,4319035.49301567
526.52244,4328230.19164981
526.47276,4338193.07369589
526.44102,4347416.80085229
526.42032,4357756.36426269
526.38858,4367168.99674494
526.35684,4376788.22345234
526.31406,4385947.03855295
526.28232,4395570.95119997
526.25334,4405284.53862718
526.23264,4414628.78388438
526.2009,4424160.8673212
526.14846,4433768.13025856
526.11672,4443357.53233997
526.09602,4452980.28156906
526.06428,4462576.18130146
526.03254,4472174.33156477
525.98148,4481802.67007169
525.96078,4491368.16623303
525.92904,4500951.52395217
525.8973,4510681.82557426
525.8766,4520744.58775391
525.81312,4530150.82293947
525.79242,4539541.89041092
525.76068,4549429.90756043
525.7317,4558739.53012333
525.70962,4568240.92723873
525.64752,4577808.21919439
525.62544,4587356.12921784
525.5937,4596915.59098413
525.56334,4606516.79911576
525.54126,4616513.27336966
525.50952,4625761.49344034
525.4488,4635760.24781633
525.4281,4644996.82683378
525.39636,4655113.3414431
525.36462,4664172.5824777
525.31218,4674453.41882102
525.28044,4683753.08974706
525.25146,4693578.14970199
525.21972,4702622.01465909
525.19902,4713048.07371885
525.16728,4721811.06134248
525.11484,4731924.48688188
525.0831,4740942.20500826
525.05136,4751141.98037844
525.01962,4760139.03055836
525.0003,4770117.18076243
524.93682,4779321.58955964
524.90646,4789247.39851634
524.87472,4800508.88250697
524.10192,4863696.67205063
524.16402,4872514.46145024
524.1861,4882361.22318903
524.19576,4892119.31897938
524.19576,4901714.10907773
524.17506,4911424.06538303
524.16402,4920960.64721961
524.15436,4930161.04399014
524.13366,4939778.52759195
524.11158,4949546.66476252
524.07018,4959049.990328
524.0481,4968695.18342393
524.0274,4978222.30166999
523.99842,4987884.10037517
523.97772,4997428.00952903
523.9239,5007069.18547394
523.9032,5016652.13768104
523.87146,5026297.14400702
523.83972,5035836.65913734
523.81902,5045899.13078463
523.76658,5055254.61064416
523.7376,5065155.13668065
523.70586,5074541.00603331
523.67412,5083989.11353967
523.65342,5093435.18455881
523.58994,5103184.25351455
523.56924,5112605.89561715
523.52646,5122378.36665308
523.50576,5131779.48260695
523.4754,5141703.76074314
523.4133,5151020.63418022
523.38156,5161157.04138508
523.34982,5170274.1768766
523.31808,5180616.49202713
523.28634,5189866.81240088
523.22562,5199224.81977739
523.19388,5209083.72444574
523.16214,5218412.99405646
523.1304,5227816.41144524
523.09866,5237385.44551363
523.03656,5246981.02546333
523.00482,5256593.72348711
522.97446,5266168.15246818
522.94272,5275778.89199497
522.91236,5285371.63645498
522.84888,5295002.58410855
522.81714,5304567.2825312
522.7854,5314159.78602339
522.75366,5323889.70911521
522.71364,5333379.70649348
522.65016,5343544.08962445
522.61842,5352990.34731126
522.58806,5362399.41569732
522.54528,5371818.60385337
522.51354,5381692.6050454
522.45282,5391166.12521985
522.41004,5400569.31560938
522.3783,5410140.53028137
522.34794,5419755.61452299
522.3162,5429325.29947513
522.27342,5438926.02617391
522.2127,5448522.86550228
522.16992,5458224.19004437
522.13956,5467739.72466061
522.10782,5477308.23166756
522.06504,5487062.48557766
522.00156,5497173.26027828
521.96154,5506534.40734639
521.9298,5515935.87445654
521.89944,5525543.45964263
521.82492,5535493.56485906
521.79318,5545150.36166404
521.75178,5554272.58535059
521.71176,5564321.90093589
521.68002,5573470.64321786
521.64828,5583322.01370989
521.57514,5592694.90719165
521.53236,5602612.30870209
521.50062,5611871.33854408
521.4606,5621557.25714665
521.42886,5631243.13969137
521.35572,5641497.50661972
521.31294,5650277.45130166
521.2812,5660258.39379641
521.24118,5669661.10336663
521.19978,5679561.41407482
521.12664,5689054.14322155
521.0949,5698352.9804564
521.05212,5707932.56239745
521.01072,5717561.17268108
520.98036,5727145.94922315
520.90722,5736741.32263506
520.86444,5746425.97255222
520.82304,5756108.52550819
520.78026,5765670.94734064
520.74852,5775233.24604035
520.6671,5784836.80874267
520.63536,5795024.3723004
520.59396,5804323.66950704
520.55118,5814207.52492432
520.5084,5823565.8630676
520.43802,5832929.17191424
520.39524,5842549.02465766
520.3635,5852346.90249048
520.3221,5861992.58361316
520.27932,5871316.7774682
520.1979,5881007.07313912
520.16616,5890634.83562599
520.12338,5900222.66464369
520.08198,5909707.1979409
520.0392,5920234.25341013
519.95778,5928919.39131299
519.915,5939015.2866373
519.88326,5948718.25401666
519.84186,5958184.43033997
519.79908,5967605.89447467
519.71766,5976989.13364119
519.67488,5986634.48469461
519.63348,5996183.84716291
519.5907,6005915.18237842
519.5493,6015462.30857326
519.4665,6024961.34411248
519.4251,6034725.59712662
519.38232,6044257.50160424
519.34092,6053855.521217
519.29814,6063374.32363421
519.21672,6073580.57858772
519.17394,6083002.74304572
519.13254,6092379.51178911
519.08976,6102206.3361037
519.04836,6111566.49128333
519.00558,6121064.1282564
518.92278,6130915.50968752
518.88138,6140407.85235634
518.8386,6149905.00537521
518.78616,6159577.08344975
518.74476,6169288.29061814
518.66196,6178693.82783643
518.62056,6188289.36102206
518.57778,6197893.70615093
518.53638,6207929.77305719
518.4936,6217327.48384475
518.40114,6227162.67866167
518.35974,6236506.25589339
518.31696,6245965.74157127
518.27556,6255571.08633869
518.23554,6265073.45761466
518.14032,6274702.19043967
518.09754,6284387.45703075
518.05614,6294091.85590905
518.01336,6303489.57754019
517.97334,6313080.54984513
517.8795,6322931.01625031
517.83672,6332957.51266545
517.78428,6342320.39325406
517.7415,6351676.9286678
517.70148,6361583.93900184
517.6173,6371008.43456901
517.56486,6380247.00094984
517.52346,6389866.10640265
517.4724,6399564.04917276
517.431,6409254.44089942
517.33578,6418686.13852187
517.293,6428287.91073543
517.2516,6438118.36269386
517.21158,6447748.22429991
517.15914,6457126.80023221
517.06392,6466707.55429052
517.02252,6476420.39517461
516.9825,6486385.43856861
516.93972,6495933.9501679
516.88728,6505606.11962177
516.79206,6515093.81415931
516.75066,6524899.78743926
516.71064,6533933.25464674
516.6582,6544187.48824814
516.61542,6553324.1913525
516.5202,6563315.04648339
516.48018,6572362.50651673
516.42774,6582938.00753799
516.38634,6591605.04348206
516.34356,6601642.13777031
516.24972,6610779.85746353
516.19866,6620755.19177694
516.15588,6630231.47336368
516.10344,6639764.88787612
516.06204,6649392.91365249
515.96958,6658934.78482163
515.91714,6668562.05658836
515.87436,6678022.0128348
515.82192,6687525.84727272
515.77914,6697146.05332081
515.72946,6706798.97450094
515.63424,6716664.92825416
515.59284,6725997.1340926
515.53902,6735552.65714838
515.49762,6745127.61768083
515.4576,6754860.13569253
515.36238,6764908.57528629
515.30994,6774386.6929006
515.26854,6783685.4322849
515.21748,6793697.12751435
515.16504,6803214.43310744
515.08086,6812534.96999088
515.02842,6822093.76563946
514.97736,6831865.40523283
514.93458,6841468.50023563
514.88214,6850919.99230274
514.7883,6860587.47924258
514.73586,6870171.66529052
514.69584,6880006.69364041
514.65306,6889967.44657286
514.60062,6899493.50927704
514.5054,6908655.86653332
514.45572,6919082.32238683
514.41294,6928171.47387929
514.3605,6937619.57346908
514.31772,6947121.93386161
514.22526,6956781.82850353
514.17282,6966122.8280358
514.12038,6976113.99151237
514.0776,6985482.7421248
514.02516,6995289.43647093
513.94374,7004530.01814767
513.8913,7014587.43107498
513.83748,7023737.39349859
513.79608,7034192.32902112
513.74364,7043566.63296913
513.65118,7053007.9332208
513.6084,7062555.59640243
513.55596,7071941.42892067
513.50352,7081408.29350806
513.45246,7091486.07567606
513.36828,7100744.24141966
513.31584,7110212.96062652
513.27444,7119811.90887899
513.22338,7129547.89673403
513.17094,7139019.30977444
513.07572,7148602.79424042
513.02328,7158186.38592498
512.9805,7168002.16925274
512.94048,7177519.49311099
512.88804,7187000.81910474
512.7942,7197183.42275955
511.81302,7276008.29100878
511.85442,7284928.61802895
511.85442,7295024.30792556
511.85442,7303876.32700199
511.81302,7313886.91175686
511.78128,7323218.64206013
511.74954,7333226.68564051
511.71918,7342261.35224085
511.68882,7352229.18527887
511.6143,7361614.58804084
511.5729,7371222.8373163
511.53012,7380766.31123629
511.48872,7390560.3586212
511.45836,7399843.48802178
511.36452,7409579.66118932
511.32174,7419662.03107248
511.28034,7429183.40111635
511.23756,7438384.51026213
511.19754,7448246.24391761
511.11336,7457665.47918935
511.07058,7467264.2905637
511.02918,7476658.54615908
510.97674,7486241.1160382
510.93672,7495858.43160342
510.85254,7505543.88839721
510.80976,7515044.39021201
510.76836,7524614.29022598
510.7173,7534253.95377425
510.6759,7543971.38653493
510.59172,7554080.74706735
510.5379,7563495.45925345
510.4965,7572887.86910705
510.45648,7583006.25489933
510.4137,7592252.77764064
510.36126,7601660.00280987
510.27708,7611150.82673281
510.23568,7620872.75904466
510.18462,7630316.96359846
510.14322,7639918.05080463
510.0894,7649571.21175225
510.00522,7659316.13715289
509.9652,7668866.90608803
509.9238,7678317.89646063
509.88102,7688081.69240155
509.78718,7698183.90642003
509.7444,7707958.06669851
509.69472,7716954.85470848
509.65194,7726465.91055495
509.61054,7736354.30824459
509.56776,7746327.43953997
509.47254,7755278.62050822
509.43252,7765478.68527657
509.39112,7774530.50535951
509.33868,7784699.48384715
509.2959,7793745.17531452
509.21448,7804052.9382376
509.16204,7812932.68381247
509.11926,7823554.34040897
509.06682,7832701.56202018
509.02404,7842644.04057194
508.94262,7851505.78160345
508.89984,7861965.93656152
508.8474,7870888.8512096
508.806,7880816.79147423
508.76322,7889933.98660401
508.67076,7899779.42423454
508.62798,7908988.34681231
508.58658,7919027.53210945
508.53414,7928382.35354305
508.49136,7937801.26769529
508.40994,7947408.62836958
508.36716,7957567.18027473
508.31472,7966746.96960216
508.27332,7976703.75323784
508.23054,7985833.09136694
508.14912,7995395.79903433
508.0953,8005375.90200808
508.0539,8014764.4769349
508.01112,8024781.89549287
507.96972,8033952.98028866
507.87726,8043470.97341807
507.83448,8053123.43940852
507.79308,8062574.71177995
507.7503,8072185.55445367
507.70062,8081824.32442486
507.61644,8091533.07623753
507.57366,8101031.82878712
507.53088,8110575.0873739
507.47844,8120219.61401567
507.43842,8129902.0358419
507.35424,8140046.17276274
507.31284,8148974.75978483
507.27006,8158947.16754317
507.22866,8168417.71716666
507.1776,8178767.68529793
507.09342,8187654.81139473
507.05202,8197106.02611959
507.00924,8206662.62323426
506.96784,8216690.45944467
506.92782,8225830.3450301
506.84364,8235820.93850643
506.78982,8244941.12777353
506.74842,8255027.94069607
506.7084,8264438.01079508
506.66562,8274435.850636
506.62422,8283588.25177348
506.54004,8293737.05808707
506.49726,8303462.85318891
506.45724,8313208.88524235
506.41584,8322104.45082273
506.32062,8332673.16226754
506.27922,8341405.20316243
506.23644,8351346.84482553
506.19642,8360330.86436281
506.15502,8370707.6340241
506.11224,8379584.1775417
506.01702,8389759.8658822
505.97562,8398773.52852264
505.94664,8408843.36000425
505.89282,8417927.72492663
505.85142,8427713.89321372
505.76724,8437175.32500036
505.72446,8447398.77292384
505.68444,8456769.55759297
505.64304,8466157.96787102
505.60026,8476077.01030459
505.51608,8485481.6382682
505.47468,8494967.58048564
505.43466,8504518.16986478
505.39188,8514125.24695084
505.35048,8523872.9502354
505.2663,8533309.97328051
505.22352,8542912.01095002
505.1835,8552707.95736545
505.1421,8562205.41619154
505.09932,8571923.58854977
505.01514,8581440.89610198
504.97374,8591422.36255099
504.93372,8600776.10619809
504.90198,8610897.98442922
504.8592,8620048.69056641
504.77502,8629637.33703612
504.73362,8639283.03198182
504.6936,8648791.79104361
504.65082,8658337.41675328
504.60942,8667914.70646595
504.52524,8677555.68658721
504.48246,8687306.87537839
504.44244,8697166.58752348
504.40104,8706318.1206803
504.35826,8716451.05721725
504.27408,8725837.49767329
504.2313,8735622.75904855
504.19128,8745191.12905025
504.14988,8754634.11348468
504.1071,8764338.24653449
504.02292,8773604.53042283
503.99118,8783426.32381806
503.95116,8792998.94577136
503.90976,8802666.5954583
503.86698,8812287.46079322
503.7828,8822022.71296587
503.7414,8831861.79021281
503.70138,8841298.67741819
503.6586,8850766.78782419
503.62824,8860500.41008555
503.54268,8870529.94240964
503.50128,8879931.47189969
503.4585,8889756.58041312
503.41848,8899114.80295111
503.37708,8908868.67229917
503.30394,8918123.7168238
503.26116,8927650.71396159
503.21838,8937372.04067174
503.17836,8946969.96131067
503.13696,8956442.03331179
503.05278,8966204.3828298
503.01,8975723.48489186
502.97964,8985224.74406406
502.93962,8994825.00352836
502.89684,9004462.66667245
502.81266,9014247.17953071
502.76988,9024218.8839109
502.72848,9033688.85961656
502.68846,9043053.4068064
502.64568,9053062.74199477
502.57254,9062271.37304195
502.53114,9071841.55739013
502.48836,9081341.31796693
502.45662,9091315.24220595
502.4166,9100538.58753057
502.3752,9110381.32906086
502.29102,9119743.55381919
502.24824,9129354.6345795
502.2165,9138932.663142
502.17648,9149399.01725554
502.0923,9158774.44656457
502.0509,9168329.40859773
502.00812,9177490.9279564
501.96672,9188015.15636591
501.93636,9196951.0318118
501.89496,9206910.25705283
501.82044,9215810.20341312
501.77904,9226178.27416399
501.73626,9235136.32746491
501.69624,9245619.44633183
501.65484,9254285.21681629
501.58032,9264452.36289838
501.53892,9273635.06750297
501.49614,9283867.61799324
501.45474,9292710.51938069
501.41472,9302430.64199216
501.33054,9312380.94689252
501.2988,9321959.05125936
501.25602,9331203.60292817
501.21462,9341562.02625168
501.18426,9350551.27904117
501.10008,9360448.6189036
501.05868,9369619.62048856
501.0159,9379463.0860826
500.98554,9388968.70570901
500.94552,9398757.91953593
500.86134,9408089.62484219
500.81856,9417743.28583227
500.77578,9427310.33196816
500.74542,9437849.97854851
500.70264,9446564.12269558
500.62122,9456603.29629764
500.58948,9465931.16561474
500.5467,9476076.18468037
500.5053,9485074.91735183
500.46252,9495123.83862369
500.39076,9504250.23188975
